INSERT INTO screenings (film_id, room_id, start_time)
       (9, 3, '2023-02-26 15:00:00'),
       (2, 2, '2023-03-02 20:10:00'),
       (7, 3, '2023-03-07 06:40:00'),
       (11, 2, '2023-03-12 00:00:00'),
       (5, 1, '2023-03-13 02:30:00'),
       (8, 1, '2023-03-15 12:20:00'),
       (5, 3, '2023-03-20 03:10:00'),
       (10, 1, '2023-03-20 08:55:00'),
       (1, 1, '2023-03-24 01:00:00'),
       (2, 2, '2023-03-26 21:40:00'),
       (2, 1, '2023-03-28 02:10:00'),
       (4, 2, '2023-03-31 15:10:00'),
       (9, 1, '2023-03-31 18:40:00'),
       (10, 2, '2023-04-08 21:40:00'),
       (3, 3, '2023-04-12 16:30:00'),
       (9, 3, '2023-04-13 15:00:00'),
       (9, 3, '2023-04-14 12:40:00'),
       (3, 1, '2023-04-15 06:00:00'),
       (9, 3, '2023-04-15 21:45:00'),
       (2, 2, '2023-04-19 19:15:00'),
       (6, 3, '2023-04-21 17:00:00'),
       (4, 2, '2023-04-25 08:25:00'),
       (1, 3, '2023-04-27 17:20:00'),
       (3, 1, '2023-04-27 19:10:00'),
       (8, 2, '2023-05-02 01:40:00'),
       (11, 2, '2023-05-11 11:30:00'),
       (8, 3, '2023-05-14 12:50:00'),
       (2, 1, '2023-05-23 19:10:00'),
       (11, 1, '2023-05-25 14:50:00'),
       (7, 2, '2023-06-05 12:40:00'),
       (2, 3, '2023-06-08 07:40:00'),
       (7, 1, '2023-06-09 07:15:00'),
       (7, 2, '2023-06-14 04:00:00'),
       (1, 2, '2023-06-16 00:30:00'),
       (8, 3, '2023-06-16 07:10:00'),
       (11, 2, '2023-06-19 01:00:00'),
       (11, 2, '2023-06-19 04:50:00'),
       (6, 3, '2023-06-25 03:10:00'),
       (3, 1, '2023-06-26 05:55:00'),
       (1, 3, '2023-06-30 00:30:00'),
       (6, 2, '2023-07-06 11:10:00'),
       (1, 1, '2023-07-08 08:35:00'),
       (10, 2, '2023-07-08 10:00:00'),
       (2, 2, '2023-07-08 16:30:00'),
       (10, 1, '2023-07-09 21:10:00'),
       (10, 3, '2023-07-15 23:20:00'),
       (1, 3, '2023-07-18 08:10:00'),
       (3, 1, '2023-07-22 10:20:00'),
       (4, 3, '2023-07-27 21:40:00'),
       (9, 3, '2023-07-28 02:10:00'),
       (10, 3, '2023-07-29 14:50:00'),
       (4, 3, '2023-07-30 06:50:00'),
       (5, 1, '2023-08-08 13:50:00'),
       (5, 2, '2023-08-12 14:10:00'),
       (5, 1, '2023-08-15 04:10:00'),
       (11, 2, '2023-08-21 06:40:00'),
       (10, 2, '2023-08-23 21:10:00'),
       (3, 2, '2023-08-25 02:00:00'),
       (1, 3, '2023-08-27 15:30:00'),
       (2, 1, '2023-08-28 17:15:00'),
       (8, 1, '2023-08-29 17:50:00'),
       (9, 2, '2023-08-30 13:50:00'),
       (9, 2, '2023-08-30 23:20:00'),
       (7, 2, '2023-08-31 20:50:00'),
       (8, 1, '2023-09-01 08:15:00'),
       (1, 2, '2023-09-02 15:45:00'),
       (9, 3, '2023-09-03 22:05:00'),
       (9, 3, '2023-09-07 16:55:00'),
       (10, 2, '2023-09-09 04:30:00'),
       (3, 1, '2023-09-09 09:50:00'),
       (11, 3, '2023-09-10 05:00:00'),
       (3, 1, '2023-09-11 20:25:00'),
       (10, 3, '2023-09-13 16:05:00'),
       (11, 1, '2023-09-14 19:05:00'),
       (5, 1, '2023-09-22 05:28:00'),
       (9, 2, '2023-09-30 16:00:00');
